iter	Passed	Remaining
401	20234	30099
402	20283	30047
403	20335	29999
404	20412	29988
405	20457	29930
406	20515	29890
407	20557	29827
408	20656	29847
409	20706	29797
410	20750	29737
411	20813	29705
412	20855	29642
413	20923	29615
414	20975	29567
415	21017	29505
416	21080	29472
417	21128	29417
418	21175	29363
419	21221	29305
420	21283	29270
421	21334	29221
422	21400	29191
423	21448	29137
424	21491	29076
425	21538	29021
426	21589	28971
427	21646	28929
428	21695	28876
429	21738	28816
430	21779	28753
431	21838	28713
432	21882	28654
433	21940	28613
434	22002	28578
435	22067	28546
436	22135	28517
437	22176	28454
438	22239	28420
439	22280	28357
440	22339	28316
441	22381	28255
442	22422	28192
443	22495	28170
444	22536	28107
445	22576	28043
446	22632	27999
447	22682	27948
448	22737	27902
449	22808	27877
450	22850	27815
451	22917	27784
452	22969	27735
453	23018	27682
454	23061	27623
455	23112	27573
456	23160	27518
457	23201	27457
458	23254	27408
459	23309	27363
460	23362	27315
461	23407	27258
462	23458	27207
463	23500	27147
464	23541	27085
465	23585	27026
466	23641	26982
467	23691	26930
468	23750	26890
469	23816	26857
470	23867	26806
471	23911	26748
472	23971	26708
473	24024	26660
474	24064	26597
475	24105	26536
476	24152	26481
477	24199	26426
478	24247	26373
479	24289	26313
480	24332	26254
481	24397	26219
482	24468	26191
483	24513	26133
484	24564	26083
485	24611	26029
486	24652	25968
487	24692	25906
488	24747	25861
489	24800	25812
490	24844	25755
491	24894	25703
492	24937	25645
493	24990	25597
494	25059	25565
495	25106	25511
496	25156	25459
497	25213	25415
498	25269	25370
499	25316	25316
500	25362	25261
501	25402	25200
502	25467	25163
503	25508	25103
504	25561	25055
505	25611	25004
506	25657	24948
507	25704	24894
508	25761	24850
509	25810	24798
510	25858	24745
511	25910	24696
512	25985	24668
513	26030	24612
514	26080	24561
515	26125	24505
516	26178	24456
517	26230	24407
518	26270	24347
519	26319	24295
520	26379	24252
521	26436	24207
522	26480	24151
523	26536	24106
524	26589	24057
525	26651	24016
526	26699	23964
527	26756	23918
528	26824	23883
529	26868	23826
530	26917	23774
531	26963	23719
532	27003	23659
533	27043	23599
534	27100	23555
535	27145	23499
536	27196	23448
537	27244	23396
538	27299	23349
539	27353	23300
540	27409	23255
541	27450	23196
542	27507	23150
543	27554	23097
544	27598	23041
545	27640	22983
546	27737	22971
547	27787	22919
548	27836	22867
549	27877	22808
550	27932	22761
551	27974	22703
552	28026	22654
553	28076	22602
554	28116	22543
555	28187	22509
556	28240	22460
557	28292	22410
558	28333	22352
559	28375	22294
560	28433	22250
561	28475	22192
562	28522	22139
563	28578	22092
564	28640	22050
565	28684	21994
566	28733	21942
567	28778	21888
568	28823	21833
569	28869	21778
570	28915	21724
571	28962	21671
572	29010	21618
573	29057	21565
574	29101	21509
575	29163	21467
576	29217	21419
577	29266	21367
578	29324	21322
579	29375	21271
580	29432	21225
581	29484	21175
582	29528	21121
583	29577	21069
584	29623	21014
585	29671	20962
586	29715	20907
587	29759	20852
588	29827	20813
589	29867	20755
590	29919	20705
591	29979	20661
592	30041	20618
593	30118	20586
594	30169	20535
595	30219	20484
596	30264	20429
597	30306	20372
598	30354	20320
599	30399	20266
600	30466	20226
601	30513	20173
602	30584	20135
603	30632	20083
604	30690	20037
605	30761	19999
606	30830	19961
607	30872	19904
608	30935	19861
609	30992	19815
610	31040	19762
611	31081	19705
612	31132	19654
613	31177	19600
614	31237	19555
615	31290	19505
616	31333	19450
617	31380	19396
618	31428	19344
619	31470	19288
620	31524	19239
621	31566	19183
622	31617	19132
623	31659	19076
624	31706	19023
625	31745	18966
626	31799	18917
627	31855	18869
628	31924	18829
629	31974	18778
630	32022	18726
631	32072	18675
632	32117	18621
633	32167	18570
634	32212	18515
635	32262	18464
636	32307	18410
637	32353	18357
638	32399	18304
639	32456	18256
640	32506	18205
641	32556	18154
642	32597	18098
643	32648	18047
644	32692	17993
645	32744	17943
646	32786	17887
647	32833	17835
648	32884	17785
649	32932	17732
650	32978	17679
651	33018	17623
652	33061	17568
653	33136	17531
654	33186	17480
655	33243	17432
656	33304	17387
657	33354	17336
658	33412	17289
659	33468	17241
660	33525	17193
661	33575	17143
662	33623	17090
663	33671	17038
664	33719	16986
665	33760	16930
666	33823	16886
667	33888	16842
668	33941	16793
669	33986	16739
670	34033	16687
671	34089	16638
672	34143	16589
673	34186	16535
674	34245	16488
675	34308	16443
676	34363	16395
677	34420	16347
678	34481	16301
679	34541	16254
680	34594	16205
681	34641	16152
682	34686	16098
683	34732	16046
684	34774	15991
685	34838	15946
686	34886	15894
687	34934	15842
688	34974	15786
689	35039	15742
690	35090	15691
691	35130	15636
692	35194	15591
693	35242	15539
694	35309	15495
695	35366	15447
696	35418	15397
697	35465	15344
698	35526	15298
699	35574	15246
700	35620	15193
701	35665	15140
702	35713	15088
703	35753	15032
704	35816	14986
705	35866	14935
706	35913	14883
707	35962	14831
708	36024	14785
709	36072	14733
710	36114	14679
711	36162	14627
712	36221	14580
713	36290	14536
714	36339	14484
715	36382	14431
716	36423	14376
717	36480	14327
718	36548	14283
719	36591	14229
720	36643	14179
721	36686	14125
722	36740	14076
723	36784	14022
724	36826	13968
725	36878	13918
726	36925	13866
727	36976	13815
728	37036	13768
729	37081	13715
730	37129	13663
731	37171	13609
732	37235	13563
733	37320	13524
734	37360	13470
735	37401	13415
736	37461	13368
737	37509	13316
738	37550	13262
739	37629	13221
740	37684	13171
741	37740	13122
742	37792	13072
743	37848	13023
744	37903	12973
745	37947	12920
746	38007	12872
747	38053	12820
748	38094	12765
749	38178	12726
750	38233	12676
751	38272	12621
752	38313	12567
753	38353	12513
754	38393	12458
755	38485	12421
756	38534	12369
757	38589	12320
758	38641	12269
759	38685	12216
760	38731	12164
761	38784	12113
762	38850	12067
763	38917	12021
764	38970	11971
765	39014	11918
766	39082	11872
767	39124	11818
768	39178	11768
769	39223	11716
770	39270	11663
771	39343	11619
772	39395	11568
773	39440	11516
774	39502	11468
775	39555	11418
776	39603	11366
777	39658	11316
778	39712	11266
779	39752	11212
780	39795	11159
781	39850	11109
782	39930	11066
783	39993	11018
784	40055	10970
785	40095	10916
786	40150	10866
787	40198	10814
788	40257	10765
789	40320	10718
790	40370	10666
791	40418	10614
792	40466	10563
793	40524	10513
794	40573	10462
795	40633	10413
796	40685	10362
797	40729	10310
798	40779	10258
799	40821	10205
800	40875	10155
801	40920	10102
802	40967	10050
803	41032	10002
804	41077	9950
805	41123	9898
806	41165	9845
807	41221	9795
808	41264	9742
809	41304	9688
810	41360	9638
811	41403	9585
812	41450	9534
813	41493	9481
814	41547	9430
815	41602	9381
816	41651	9329
817	41703	9278
818	41759	9228
819	41809	9177
820	41849	9124
821	41916	9076
822	41969	9026
823	42024	8976
824	42064	8922
825	42121	8873
826	42162	8819
827	42217	8769
828	42264	8717
829	42313	8666
830	42361	8614
831	42411	8563
832	42466	8513
833	42514	8462
834	42576	8413
835	42629	8362
836	42678	8311
837	42733	8261
838	42774	8208
839	42828	8157
840	42888	8108
841	42954	8060
842	42998	8008
843	43066	7960
844	43122	7910
845	43186	7861
846	43236	7810
847	43311	7763
848	43352	7710
849	43421	7662
850	43469	7610
851	43512	7558
852	43553	7505
853	43593	7452
854	43636	7400
855	43687	7349
856	43748	7299
857	43794	7247
858	43838	7195
859	43900	7146
860	43951	7095
861	43997	7043
862	44043	6991
863	44100	6941
864	44166	6893
865	44213	6841
866	44258	6789
867	44309	6738
868	44358	6686
869	44405	6635
870	44452	6583
871	44495	6531
872	44555	6481
873	44605	6430
874	44645	6377
875	44728	6331
876	44789	6281
877	44829	6229
878	44873	6177
879	44936	6127
880	44998	6078
881	45042	6026
882	45085	5973
883	45141	5923
884	45183	5871
885	45226	5819
886	45288	5769
887	45339	5718
888	45378	5665
889	45446	5616
890	45495	5565
891	45541	5513
892	45581	5461
893	45637	5411
894	45682	5359
895	45723	5307
896	45788	5257
897	45852	5208
898	45903	5157
899	45951	5105
900	45993	5053
901	46041	5002
902	46080	4949
903	46131	4898
904	46212	4850
905	46258	4799
906	46318	4749
907	46362	4697
908	46405	4645
909	46450	4594
910	46489	4541
911	46539	4490
912	46590	4439
913	46633	4387
914	46677	4336
915	46723	4284
916	46772	4233
917	46822	4182
918	46864	4130
919	46913	4079
920	46962	4028
921	47008	3976
922	47054	3925
923	47104	3874
924	47152	3823
925	47194	3771
926	47234	3719
927	47294	3669
928	47353	3619
929	47401	3567
930	47457	3517
931	47535	3468
932	47587	3417
933	47640	3366
934	47698	3315
935	47737	3264
936	47791	3213
937	47868	3163
938	47926	3113
939	47980	3062
940	48029	3011
941	48072	2959
942	48111	2908
943	48153	2856
944	48195	2805
945	48235	2753
946	48282	2702
947	48339	2651
948	48407	2601
949	48455	2550
950	48500	2498
951	48550	2447
952	48595	2396
953	48640	2345
954	48703	2294
955	48746	2243
956	48799	2192
957	48843	2141
958	48893	2090
959	48937	2039
960	48986	1987
961	49029	1936
962	49079	1885
963	49127	1834
964	49167	1783
965	49219	1732
966	49270	1681
967	49311	1630
968	49350	1578
969	49397	1527
970	49440	1476
971	49492	1425
972	49535	1374
973	49586	1323
974	49628	1272
975	49689	1221
976	49756	1171
977	49803	1120
978	49848	1069
979	49906	1018
980	49956	967
981	50005	916
982	50055	865
983	50095	814
984	50143	763
985	50195	712
986	50259	661
987	50305	610
988	50349	560
989	50400	509
990	50445	458
991	50508	407
992	50554	356
993	50600	305
994	50647	254
995	50705	203
996	50766	152
997	50837	101
998	50893	50
999	50943	0
