iter	RMSE
303	7.886770744
304	7.884810262
305	7.881213454
306	7.878873638
307	7.874780947
308	7.872526313
309	7.872231253
310	7.871352185
311	7.870169227
312	7.868910723
313	7.868569205
314	7.867099387
315	7.865354967
316	7.863831613
317	7.86329547
318	7.86170785
319	7.86038004
320	7.859203148
321	7.85702413
322	7.855376926
323	7.855027813
324	7.853817324
325	7.85192014
326	7.848747526
327	7.847532369
328	7.845359598
329	7.84509609
330	7.842295564
331	7.840378714
332	7.839437991
333	7.838891092
334	7.837570862
335	7.836531114
336	7.836244686
337	7.83386725
338	7.833179325
339	7.832338511
340	7.824926571
341	7.82379082
342	7.821048674
343	7.819195229
344	7.818924315
345	7.818230872
346	7.817961523
347	7.817588768
348	7.814453687
349	7.81291838
350	7.811989054
351	7.810188567
352	7.807263093
353	7.806305962
354	7.80516866
355	7.802836637
356	7.801915423
357	7.797770321
358	7.79746317
359	7.79586047
360	7.794803021
361	7.790266571
362	7.786458588
363	7.78588882
364	7.780833547
365	7.780468285
366	7.777075735
367	7.774773865
368	7.773824758
369	7.770117133
370	7.767446651
371	7.767012353
372	7.766713487
373	7.765944984
374	7.765671306
375	7.76442831
376	7.763074551
377	7.762717092
378	7.760638488
379	7.760499948
380	7.759266619
381	7.758065039
382	7.756598512
383	7.755232725
384	7.754965058
385	7.754129013
386	7.752134063
387	7.751914692
388	7.749790118
389	7.747807052
390	7.746350714
391	7.745062781
392	7.743981118
393	7.742720077
394	7.740608297
395	7.739951269
396	7.737463502
397	7.736116473
398	7.735452631
399	7.734527426
400	7.734315416
401	7.718887618
402	7.716038516
403	7.710853177
404	7.709475146
405	7.707963444
406	7.707718946
407	7.707001982
408	7.70511359
409	7.701995454
410	7.700054273
411	7.695964253
412	7.693110163
413	7.691697769
414	7.691478808
415	7.690078433
416	7.689817767
417	7.687140741
418	7.686580613
419	7.685476618
420	7.685103253
421	7.682749263
422	7.682290844
423	7.681773519
424	7.678987059
425	7.676493269
426	7.675926544
427	7.674032483
428	7.67037822
429	7.668586876
430	7.668017505
431	7.666583202
432	7.66488846
433	7.66167911
434	7.659415488
435	7.655357811
436	7.654647014
437	7.65269565
438	7.648611033
439	7.647116317
440	7.645302524
441	7.643455752
442	7.641436002
443	7.639575558
444	7.638979858
445	7.638630955
446	7.63582939
447	7.635193539
448	7.633420204
449	7.630503753
450	7.628345769
451	7.628043421
452	7.626076881
453	7.623959778
454	7.621709406
455	7.619810546
456	7.616826288
457	7.616412298
458	7.614198924
459	7.613201039
460	7.611059319
461	7.610386828
462	7.609453784
463	7.608966717
464	7.607604988
465	7.604931379
466	7.603710125
467	7.60281025
468	7.602283245
469	7.597865628
470	7.596571987
471	7.595493453
472	7.591755559
473	7.589692301
474	7.589450031
475	7.588851165
476	7.587845407
477	7.586652888
478	7.586232954
479	7.58340386
480	7.583082097
481	7.580038078
482	7.579027275
483	7.57686576
484	7.575718694
485	7.574365125
486	7.573707369
487	7.573430841
488	7.571813224
489	7.563328823
490	7.562205867
491	7.56160891
492	7.560468364
493	7.559188603
494	7.557444625
495	7.551462868
496	7.549302624
497	7.547866963
498	7.545721743
499	7.540326903
500	7.536647318
501	7.535844017
502	7.534991059
503	7.532253266
504	7.53013645
505	7.527899056
506	7.527144332
507	7.523716337
508	7.522269242
509	7.518558885
510	7.518274305
511	7.517651076
512	7.515098646
513	7.513730808
514	7.513277013
515	7.510045751
516	7.508764903
517	7.508133809
518	7.507319397
519	7.504471269
520	7.490414607
521	7.489657965
522	7.486941032
523	7.485297428
524	7.484464227
525	7.483731399
526	7.483385731
527	7.481846874
528	7.47986911
529	7.477676722
530	7.477279482
531	7.474191177
532	7.473468404
533	7.473052878
534	7.470301852
535	7.46913977
536	7.467404232
537	7.465339221
538	7.463110404
539	7.46205342
540	7.46070209
541	7.457583535
542	7.455884623
543	7.455736087
544	7.45385707
545	7.45340455
546	7.453154531
547	7.452508175
548	7.452265812
549	7.450893592
550	7.449014401
551	7.446779841
552	7.443765199
553	7.441419299
554	7.440886641
555	7.439900806
556	7.43817341
557	7.437308352
558	7.43647604
559	7.435702976
560	7.434704463
561	7.432313508
562	7.43130718
563	7.429359608
564	7.428644354
565	7.428385941
566	7.427967579
567	7.424769208
568	7.423683928
569	7.422844238
570	7.420323643
571	7.416932809
572	7.415232184
573	7.413155871
574	7.411977769
575	7.411496123
576	7.411051615
577	7.409404325
578	7.406508994
579	7.404840107
580	7.402109363
581	7.398288796
582	7.395594226
583	7.393222447
584	7.392366113
585	7.388867853
586	7.387809784
587	7.386471735
588	7.385957617
589	7.384537407
590	7.383816174
591	7.379027681
592	7.376534625
593	7.374899494
594	7.373658794
595	7.370013641
596	7.369265445
597	7.367797827
598	7.365892149
599	7.365550735
600	7.35898737
601	7.357526481
602	7.356968881
603	7.354594914
604	7.349456155
605	7.347647725
606	7.345380441
607	7.343117356
608	7.342828274
609	7.342007335
610	7.339809629
611	7.338826313
612	7.338010418
613	7.337425851
614	7.334741442
615	7.323756709
616	7.322041529
617	7.321659503
618	7.319497474
619	7.317898653
620	7.316970434
621	7.313956175
622	7.313563353
623	7.313421462
624	7.311798223
625	7.309899967
626	7.309664289
627	7.309220765
628	7.307365298
629	7.305663647
630	7.303675532
631	7.303327451
632	7.302343452
633	7.300445778
634	7.299332431
635	7.294542413
636	7.292892937
637	7.290967033
638	7.289083991
639	7.285832876
640	7.284642067
641	7.282447702
642	7.282121284
643	7.281750563
644	7.279980298
645	7.279520889
646	7.278263861
647	7.276223769
648	7.275283562
649	7.271370764
650	7.266041886
651	7.265524755
652	7.264233259
653	7.263655441
654	7.262549874
655	7.262380226
656	7.261303982
657	7.259325781
658	7.257403988
659	7.251517405
660	7.248775612
661	7.242457776
662	7.241837298
663	7.239052417
664	7.238162685
665	7.235054326
666	7.233582453
667	7.233087602
668	7.232336951
669	7.232171931
670	7.231016524
671	7.230445299
672	7.228770851
673	7.225779457
674	7.221281193
675	7.220344823
676	7.216132513
677	7.21507468
678	7.212940533
679	7.211640622
680	7.210753302
681	7.210610513
682	7.202608982
683	7.199539878
684	7.198070406
685	7.196610246
686	7.196483243
687	7.195084396
688	7.193366582
689	7.192240828
690	7.190038152
691	7.189051663
692	7.186649354
693	7.183418478
694	7.181734788
695	7.18109162
696	7.179521302
697	7.177544721
698	7.175579943
699	7.169768424
700	7.168522463
701	7.167132574
702	7.166214019
703	7.165014533
704	7.163154134
705	7.162006527
706	7.160443415
707	7.158633784
708	7.155155563
709	7.149526805
710	7.147998223
711	7.144967912
712	7.142562672
713	7.142086387
714	7.140110591
715	7.139179248
716	7.137340722
717	7.137017293
718	7.136917064
719	7.134950543
720	7.134785119
721	7.133245161
722	7.128193722
723	7.126697474
724	7.12557541
725	7.12322719
726	7.122509835
727	7.119514357
728	7.119023986
729	7.118298746
730	7.11643434
731	7.112672368
732	7.108886776
733	7.106411747
734	7.105409032
735	7.102257776
736	7.100508845
737	7.100180769
738	7.098035834
739	7.09757461
740	7.096056283
741	7.093072202
742	7.090622649
743	7.088000614
744	7.0869224
745	7.084901141
746	7.083323951
747	7.078444811
748	7.077630493
749	7.075575225
750	7.07393891
751	7.073243647
752	7.072749902
753	7.071897719
754	7.069429401
755	7.068276312
756	7.067067388
757	7.065599958
758	7.064318802
759	7.060463731
760	7.060079726
761	7.057902188
762	7.057648448
763	7.056194357
764	7.05493588
765	7.053739383
766	7.051902141
767	7.050813815
768	7.050307341
769	7.050077685
770	7.048734184
771	7.048255931
772	7.0440193
773	7.038509946
774	7.035549273
775	7.03160683
776	7.030986747
777	7.029665488
778	7.026774815
779	7.02536381
780	7.023818492
781	7.020687756
782	7.015446077
783	7.01239816
784	7.011166239
785	7.010968327
786	7.00957819
787	7.008817236
788	7.008160893
789	7.007620758
790	7.007343115
791	7.00654085
792	7.005450501
793	7.004839656
794	7.001961282
795	7.001359728
796	7.001269469
797	7.000046616
798	6.998745778
799	6.998211582
800	6.99367611
801	6.9895389
802	6.989377509
803	6.989283257
804	6.985965101
805	6.984454192
806	6.981813294
807	6.980420926
808	6.978741408
809	6.97635868
810	6.976161465
811	6.974726342
812	6.973328533
813	6.972286046
814	6.971047724
815	6.968668026
816	6.967182758
817	6.965507728
818	6.965263597
819	6.964710665
820	6.96287266
821	6.961243184
822	6.960028237
823	6.959345037
824	6.957663419
825	6.957558793
826	6.955305386
827	6.95518892
828	6.953828134
829	6.952303821
830	6.950040073
831	6.949265216
832	6.947874469
833	6.94711026
834	6.94575736
835	6.94467378
836	6.941333671
837	6.940794669
838	6.939847736
839	6.938248274
840	6.936805635
841	6.936637429
842	6.935479089
843	6.934138531
844	6.934056197
845	6.932368951
846	6.931116228
847	6.930398036
848	6.930231019
849	6.928881462
850	6.928669106
851	6.927805569
852	6.927551254
853	6.923048345
854	6.917489741
855	6.916086018
856	6.915641187
857	6.914628294
858	6.913183382
859	6.912420897
860	6.909393778
861	6.907250267
862	6.907167148
863	6.905880326
864	6.905021089
865	6.904270689
866	6.904046347
867	6.902165221
868	6.900401836
869	6.899501091
870	6.896845678
871	6.896617315
872	6.893536149
873	6.893400026
874	6.892230158
875	6.891510327
876	6.888242039
877	6.887891776
878	6.887606163
879	6.886743412
880	6.885817769
881	6.884768532
882	6.884338512
883	6.878439238
884	6.876342647
885	6.874039293
886	6.873957421
887	6.873915372
888	6.863855228
889	6.863756492
890	6.862902152
891	6.860285828
892	6.859132419
893	6.857683376
894	6.856634406
895	6.856391174
896	6.855066918
897	6.851999008
898	6.851907734
899	6.849966594
900	6.849076535
901	6.848871803
902	6.848485016
903	6.847934555
904	6.846468274
905	6.845716365
906	6.84468377
907	6.841664227
908	6.84083815
909	6.840028953
910	6.839942939
911	6.838853425
912	6.837022369
913	6.835530073
914	6.834810126
915	6.834223743
916	6.833813015
917	6.832060175
918	6.829955226
919	6.829088625
920	6.828560965
921	6.828211785
922	6.827542799
923	6.825815725
924	6.824751099
925	6.822921693
926	6.821558698
927	6.820293749
928	6.818008234
929	6.816114327
930	6.815255536
931	6.814685761
932	6.814069532
933	6.812239704
934	6.811273742
935	6.810295247
936	6.809855342
937	6.808091148
938	6.806947548
939	6.806599165
940	6.802632711
941	6.801589529
942	6.798699001
943	6.796914272
944	6.795831811
945	6.793182156
946	6.791748187
947	6.790944197
948	6.787896636
949	6.787333454
950	6.786117717
951	6.785298632
952	6.784440968
953	6.783689015
954	6.783529795
955	6.783105787
956	6.782311242
957	6.781845124
958	6.780727859
959	6.780443518
960	6.779682477
961	6.777323936
962	6.776290043
963	6.776214262
964	6.773216016
965	6.772067941
966	6.761085539
967	6.761043477
968	6.760547107
969	6.760347266
970	6.757738417
971	6.757265307
972	6.753458108
973	6.752997771
974	6.752711043
975	6.748367736
976	6.746597141
977	6.744813394
978	6.744429096
979	6.744355152
980	6.743835614
981	6.742243574
982	6.741314749
983	6.738718701
984	6.737815648
985	6.736609218
986	6.736339374
987	6.736262288
988	6.73343256
989	6.731813948
990	6.731358661
991	6.727231209
992	6.72626885
993	6.725763545
994	6.724544273
995	6.722639274
996	6.721844833
997	6.721186202
998	6.718623832
999	6.71798852
